50
0.001	52.061
0.037	90.715
0.073	120.253
0.109	144.305
0.145	164.099
0.181	180.555
0.217	194.363
0.253	206.036
0.288	215.965
0.324	224.447
0.360	231.719
0.396	237.969
0.432	243.357
0.468	248.020
0.504	252.076
0.540	255.632
0.576	258.782
0.612	261.607
0.647	264.178
0.683	266.551
0.719	268.772
0.755	270.875
0.791	272.884
0.827	274.812
0.863	276.663
0.899	278.439
0.935	280.134
0.971	281.744
1.007	283.264
1.042	284.692
1.078	286.030
1.114	287.284
1.150	288.465
1.186	289.588
1.222	290.672
1.258	291.733
1.294	292.788
1.330	293.846
1.366	294.911
1.401	295.974
1.437	297.016
1.473	298.007
1.509	298.912
1.545	299.696
1.581	300.485
1.617	301.257
1.653	302.106
1.689	303.026
1.725	303.864
1.761	304.873
